NO_OF_SAMPLES	23345
FREQUENCY	1000
TIME_STAMP	2024-03-28, 16:25:31.372	8765.20812810
FIRST_SAMPLE	8291
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Kistler Force Plates
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	6157649
FORCE_PLATE_CORNER_POSX_POSY_X	600.000024
FORCE_PLATE_CORNER_POSX_POSY_Y	-409.999996
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	-810.000002
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Y	-810.000002
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	-409.999996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	600.000024
FORCE_PLATE_WIDTH	400.000006
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
8291	8.29000	0.018034	0.054101	0.072135	0.059188	0.013808	0.018755	0.000000	0.000000	0.000000	
8292	8.29100	0.000000	0.090169	0.054101	0.088360	0.026282	0.022362	0.000000	0.000000	0.000000	
8293	8.29200	-0.018034	0.090169	0.144270	0.016438	0.003049	0.018755	0.000000	0.000000	0.000000	
8294	8.29300	-0.072135	0.072135	0.072135	0.200602	0.023908	0.017312	0.000000	0.000000	0.000000	
8295	8.29400	-0.054101	0.126236	0.072135	0.042799	0.012190	0.023083	0.000000	0.000000	0.000000	
8296	8.29500	-0.018034	0.090169	0.018034	-11119.754883	-3133.084229	0.023083	0.000000	0.000000	0.000000	
8297	8.29600	-0.018034	0.054101	-0.036067	-0.000000	0.000000	0.015870	0.000000	0.000000	0.000000	
8298	8.29700	-0.054101	0.072135	-0.036067	-0.000000	0.000000	0.020919	0.000000	0.000000	0.000000	
8299	8.29800	-0.054101	0.090169	0.054101	0.190624	0.043872	0.023083	0.000000	0.000000	0.000000	
8300	8.29900	-0.018034	0.090169	0.108202	0.045938	0.010571	0.015870	0.000000	0.000000	0.000000	
8301	8.30000	-0.018034	0.090169	0.090168	0.042780	0.009272	0.023083	0.000000	0.000000	0.000000	
8302	8.30100	-0.018034	0.090169	0.036067	-34.056389	-9.770855	0.023083	0.000000	0.000000	0.000000	
8303	8.30200	-0.036067	0.090169	0.000000	0.000000	-0.000000	0.019476	0.000000	0.000000	0.000000	
8304	8.30300	-0.036067	0.072135	0.054101	-13.160918	-5.996256	0.021640	0.000000	0.000000	0.000000	
8305	8.30400	-0.036067	0.054101	0.072135	0.004708	0.043505	0.023804	0.000000	0.000000	0.000000	
8306	8.30500	-0.018034	0.054101	0.072135	0.025503	0.008249	0.020198	0.000000	0.000000	0.000000	
8307	8.30600	0.000000	0.072135	0.090169	0.013625	0.010967	0.018755	0.000000	0.000000	0.000000	
8308	8.30700	-0.036067	0.054101	0.072135	-0.149362	-0.053286	0.028133	0.000000	0.000000	0.000000	
8309	8.30800	-0.036067	0.054101	0.072135	-0.722469	-0.368907	0.028133	0.000000	0.000000	0.000000	
8310	8.30900	-0.036067	0.036067	0.072135	-0.186854	-0.075855	0.025969	0.000000	0.000000	0.000000	
8311	8.31000	-0.036067	0.054101	0.036067	-445.421173	-242.663300	0.025247	0.000000	0.000000	0.000000	
8312	8.31100	-0.018034	0.090169	0.018034	-341539.687500	-207328.265625	0.028854	0.000000	0.000000	0.000000	
8313	8.31200	-0.018034	0.054101	0.072135	-3.229921	-1.462295	0.031739	0.000000	0.000000	0.000000	
8314	8.31300	-0.018034	0.072135	0.036067	-167.397186	-80.401543	0.031018	0.000000	0.000000	0.000000	
8315	8.31400	-0.018034	0.090168	0.000000	0.000000	-0.000000	0.024526	0.000000	0.000000	0.000000	
8316	8.31500	0.000000	0.072135	0.054101	-6.033959	-2.583135	0.018755	0.000000	0.000000	0.000000	
8317	8.31600	0.018034	0.090168	0.072135	0.020490	0.010496	0.017312	0.000000	0.000000	0.000000	
8318	8.31700	0.018034	0.090169	0.054101	-23.596352	-9.427360	0.028854	0.000000	0.000000	0.000000	
8319	8.31800	0.000000	0.054101	0.036067	-2350.002930	-803.141602	0.025247	0.000000	0.000000	0.000000	
