NO_OF_SAMPLES	27825
FREQUENCY	1000
TIME_STAMP	2024-04-17, 10:42:46.225	8425.06108820
FIRST_SAMPLE	2986
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Kistler Force Plates
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	6157649
FORCE_PLATE_CORNER_POSX_POSY_X	600.000024
FORCE_PLATE_CORNER_POSX_POSY_Y	-409.999996
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	-810.000002
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Y	-810.000002
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	-409.999996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	600.000024
FORCE_PLATE_WIDTH	400.000006
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
2986	2.98500	0.072135	0.162303	0.216404	0.055125	0.015280	0.035346	0.000000	0.000000	0.000000	
2987	2.98600	0.054101	0.162303	0.126236	0.032669	-0.011420	0.024526	0.000000	0.000000	0.000000	
2988	2.98700	0.090168	0.144270	0.090168	0.069346	-0.333855	0.026690	0.000000	0.000000	0.000000	
2989	2.98800	0.054101	0.162303	0.108202	-0.185577	-0.191284	0.031739	0.000000	0.000000	0.000000	
2990	2.98900	0.054101	0.180337	0.162303	0.044122	0.017405	0.022362	0.000000	0.000000	0.000000	
2991	2.99000	0.108202	0.144270	0.144269	0.100660	0.023191	0.025969	0.000000	0.000000	0.000000	
2992	2.99100	0.090168	0.162303	0.072135	-94.024666	-32.849270	0.020198	0.000000	0.000000	0.000000	
2993	2.99200	0.090168	0.162303	0.144270	0.036378	0.034541	0.020198	0.000000	0.000000	0.000000	
2994	2.99300	0.090168	0.126236	0.072135	-0.188476	-0.214656	0.027411	0.000000	0.000000	0.000000	
2995	2.99400	0.090168	0.144270	0.090168	0.055082	-0.054495	0.022362	0.000000	0.000000	0.000000	
2996	2.99500	0.144270	0.144270	0.180337	0.036792	0.027002	0.018755	0.000000	0.000000	0.000000	
2997	2.99600	0.126236	0.144270	0.090169	-3.825489	-1.679371	0.018034	0.000000	0.000000	0.000000	
2998	2.99700	0.108202	0.162303	0.090168	-5.292643	-2.333931	0.028133	0.000000	0.000000	0.000000	
