NO_OF_FRAMES	8609
NO_OF_CAMERAS	8
NO_OF_MARKERS	27
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-03-28, 10:20:11.323	92574.17520200
DATA_INCLUDED	3D
MARKER_NAMES	Top.Head	L.Acromium	R.Acromium	Sternum	L.ASIS	R.ASIS	L.PSIS	R.PSIS	V.Sacral	L.Thigh.Front	L.Knee.Lat	L.Knee.Med	L.Shank.Front	L.Ankle.Lat	L.Ankle.Med	L.Heel	L.Toe.Lat	L.Toe.Tip	R.Thigh.Front	R.Knee.Lat	R.Knee.Med	R.Shank.Front	R.Ankle.Lat	R.Ankle.Med	R.Heel	R.Toe.Lat	R.Toe.Tip
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Virtual	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Mixed	Measured	Measured
Frame	Time	Top.Head X	Top.Head Y	Top.Head Z	L.Acromium X	L.Acromium Y	L.Acromium Z	R.Acromium X	R.Acromium Y	R.Acromium Z	Sternum X	Sternum Y	Sternum Z	L.ASIS X	L.ASIS Y	L.ASIS Z	R.ASIS X	R.ASIS Y	R.ASIS Z	L.PSIS X	L.PSIS Y	L.PSIS Z	R.PSIS X	R.PSIS Y	R.PSIS Z	V.Sacral X	V.Sacral Y	V.Sacral Z	L.Thigh.Front X	L.Thigh.Front Y	L.Thigh.Front Z	L.Knee.Lat X	L.Knee.Lat Y	L.Knee.Lat Z	L.Knee.Med X	L.Knee.Med Y	L.Knee.Med Z	L.Shank.Front X	L.Shank.Front Y	L.Shank.Front Z	L.Ankle.Lat X	L.Ankle.Lat Y	L.Ankle.Lat Z	L.Ankle.Med X	L.Ankle.Med Y	L.Ankle.Med Z	L.Heel X	L.Heel Y	L.Heel Z	L.Toe.Lat X	L.Toe.Lat Y	L.Toe.Lat Z	L.Toe.Tip X	L.Toe.Tip Y	L.Toe.Tip Z	R.Thigh.Front X	R.Thigh.Front Y	R.Thigh.Front Z	R.Knee.Lat X	R.Knee.Lat Y	R.Knee.Lat Z	R.Knee.Med X	R.Knee.Med Y	R.Knee.Med Z	R.Shank.Front X	R.Shank.Front Y	R.Shank.Front Z	R.Ankle.Lat X	R.Ankle.Lat Y	R.Ankle.Lat Z	R.Ankle.Med X	R.Ankle.Med Y	R.Ankle.Med Z	R.Heel X	R.Heel Y	R.Heel Z	R.Toe.Lat X	R.Toe.Lat Y	R.Toe.Lat Z	R.Toe.Tip X	R.Toe.Tip Y	R.Toe.Tip Z	
1935	9.67000	-156.681	-338.170	2083.584	-299.580	-196.526	1834.896	-292.371	-506.108	1831.398	-218.307	-352.149	1793.533	-194.584	-250.192	1394.674	-192.414	-463.903	1386.967	-381.908	-305.015	1434.370	-376.749	-410.981	1435.959	-379.329	-357.998	1435.164	-196.538	-274.074	1093.104	-280.325	-232.487	942.702	-294.681	-355.916	947.545	-245.320	-298.096	895.193	-351.668	-259.315	581.058	-323.491	-339.292	596.195	-406.804	-315.475	559.225	-248.292	-233.530	544.424	-207.525	-287.512	567.435	-179.680	-476.251	1095.723	-260.663	-526.297	955.157	-240.723	-404.804	947.325	-225.324	-497.712	881.949	-381.243	-527.293	591.918	-346.741	-450.815	600.709	-436.450	-478.044	576.208	-275.033	-569.624	541.536	-229.071	-510.470	560.783
1936	9.67500	-155.642	-337.214	2083.265	-298.539	-195.633	1834.560	-291.365	-505.477	1831.226	-217.474	-351.223	1793.173	-194.294	-249.469	1394.421	-192.222	-463.131	1386.670	-381.638	-304.265	1434.207	-376.523	-410.296	1435.665	-379.080	-357.281	1434.936	-196.373	-273.478	1092.872	-280.225	-231.925	942.489	-294.269	-355.218	947.361	-245.273	-297.599	895.077	-351.743	-259.272	581.022	-323.526	-339.233	596.130	-406.820	-315.412	559.177	-248.343	-233.465	544.423	-207.551	-287.435	567.416	-177.381	-475.809	1096.140	-257.323	-526.002	955.031	-236.842	-404.709	946.916	-222.099	-497.800	881.595	-380.584	-527.305	593.026	-345.922	-450.863	601.513	-435.842	-477.964	577.788	-274.874	-569.647	541.537	-228.675	-510.538	560.552
1937	9.68000	-154.498	-336.282	2082.892	-297.473	-194.708	1834.237	-290.658	-504.433	1831.141	-216.595	-350.478	1792.721	-193.984	-248.694	1394.116	-192.027	-462.395	1386.273	-381.356	-303.520	1434.031	-376.250	-409.560	1435.331	-378.803	-356.540	1434.681	-196.210	-272.795	1092.696	-280.160	-231.342	942.291	-294.086	-354.545	947.327	-245.336	-297.127	895.011	-351.756	-259.205	580.985	-323.705	-339.214	596.184	-406.850	-315.394	559.114	-248.362	-233.451	544.385	-207.581	-287.438	567.368	-174.962	-475.297	1096.636	-253.812	-525.786	955.034	-232.925	-404.587	946.725	-218.713	-497.857	881.312	-379.745	-527.376	594.116	-344.928	-450.938	602.442	-435.145	-477.966	579.561	-274.671	-569.682	541.524	-228.264	-510.657	560.306
1938	9.68500	-153.377	-335.360	2082.523	-296.459	-193.848	1834.000	-289.526	-503.861	1830.989	-215.723	-349.721	1792.325	-193.671	-247.925	1393.877	-191.834	-461.667	1385.988	-381.086	-302.796	1433.874	-376.043	-408.817	1435.022	-378.565	-355.806	1434.448	-196.047	-272.075	1092.554	-280.115	-230.790	942.084	-294.442	-354.099	947.186	-245.402	-296.688	894.905	-351.821	-259.180	580.957	-323.773	-339.183	596.148	-406.852	-315.380	559.069	-248.421	-233.405	544.393	-207.654	-287.397	567.376	-172.567	-474.939	1097.149	-250.274	-525.601	955.154	-229.004	-404.500	946.518	-215.260	-497.971	881.135	-378.892	-527.481	595.411	-343.870	-451.076	603.444	-434.362	-478.024	581.603	-274.422	-569.711	541.576	-227.780	-510.781	560.059
1939	9.69000	-152.257	-334.467	2082.209	-295.410	-193.006	1833.673	-288.635	-502.920	1830.898	-214.878	-348.950	1791.922	-193.361	-247.185	1393.614	-191.642	-460.942	1385.680	-380.830	-302.037	1433.688	-375.835	-408.049	1434.706	-378.333	-355.043	1434.197	-195.922	-271.442	1092.385	-280.088	-230.185	941.909	-295.731	-353.854	947.291	-245.441	-296.260	894.724	-351.871	-259.153	580.901	-323.754	-339.107	596.019	-406.895	-315.357	559.011	-248.456	-233.320	544.347	-207.684	-287.342	567.339	-170.549	-474.632	1097.810	-246.729	-525.386	955.270	-226.240	-405.173	946.005	-211.702	-498.069	881.064	-377.926	-527.602	596.866	-342.870	-451.252	604.669	-433.488	-478.110	583.795	-274.138	-569.751	541.593	-227.335	-510.875	559.711
1940	9.69500	-151.036	-333.542	2081.850	-294.354	-192.117	1833.390	-287.646	-502.267	1830.783	-214.006	-348.114	1791.539	-193.035	-246.352	1393.408	-191.458	-460.189	1385.400	-380.587	-301.256	1433.526	-375.623	-407.246	1434.381	-378.105	-354.251	1433.954	-195.833	-270.797	1092.196	-280.097	-229.587	941.750	-295.864	-353.276	947.287	-245.553	-295.763	894.648	-351.903	-259.120	580.856	-323.794	-339.036	595.995	-406.923	-315.336	558.974	-248.498	-233.246	544.300	-207.709	-287.296	567.334	-168.091	-474.365	1098.527	-242.844	-525.283	955.608	-222.333	-405.210	946.014	-207.965	-498.279	881.127	-376.810	-527.774	598.415	-341.619	-451.466	605.900	-432.537	-478.221	586.123	-273.845	-569.811	541.718	-226.753	-510.983	559.322
1941	9.70000	-149.863	-332.654	2081.565	-293.331	-191.257	1833.142	-286.624	-501.457	1830.654	-213.099	-347.483	1791.211	-192.726	-245.635	1393.177	-191.266	-459.455	1385.128	-380.324	-300.445	1433.336	-375.416	-406.488	1434.104	-377.870	-353.467	1433.720	-195.731	-270.135	1091.968	-280.160	-228.987	941.634	-296.132	-352.965	946.497	-245.630	-295.232	894.564	-351.963	-259.071	580.823	-323.915	-338.991	596.030	-406.958	-315.317	558.895	-248.501	-233.229	544.314	-207.764	-287.217	567.305	-165.570	-474.107	1099.332	-238.926	-525.195	955.922	-218.311	-405.138	946.143	-204.132	-498.471	881.250	-375.597	-527.992	600.165	-340.191	-451.690	607.243	-431.544	-478.275	588.674	-273.499	-569.818	541.784	-226.194	-511.101	559.011
1942	9.70500	-148.654	-331.849	2081.237	-292.335	-190.462	1832.863	-285.694	-500.741	1830.644	-212.230	-346.616	1790.844	-192.407	-244.881	1393.013	-191.050	-458.742	1384.963	-380.071	-299.646	1433.163	-375.248	-405.678	1433.830	-377.659	-352.662	1433.497	-195.596	-269.486	1091.787	-280.233	-228.395	941.524	-296.233	-352.113	947.293	-245.697	-294.736	894.490	-352.003	-259.028	580.750	-323.977	-338.893	596.050	-406.992	-315.263	558.902	-248.546	-233.131	544.281	-207.817	-287.160	567.343	-163.020	-473.891	1100.215	-234.869	-525.107	956.359	-214.211	-405.083	946.478	-200.139	-498.736	881.486	-374.216	-528.182	601.934	-338.816	-451.928	608.814	-430.513	-478.380	591.544	-273.128	-569.870	541.906	-225.604	-511.169	558.666
1943	9.71000	-147.428	-330.989	2080.918	-291.351	-189.610	1832.620	-284.664	-500.020	1830.456	-211.316	-345.943	1790.509	-192.074	-244.028	1392.851	-190.849	-457.932	1384.812	-379.775	-298.809	1432.970	-375.060	-404.865	1433.587	-377.418	-351.837	1433.278	-195.493	-268.834	1091.573	-280.320	-227.815	941.428	-296.500	-351.826	946.652	-245.750	-294.210	894.392	-352.065	-258.952	580.741	-323.863	-338.800	595.962	-407.038	-315.239	558.846	-248.601	-233.088	544.278	-207.846	-287.112	567.331	-160.426	-473.738	1101.174	-230.610	-525.145	956.841	-210.039	-405.089	947.008	-195.992	-498.988	881.778	-372.757	-528.411	603.930	-337.202	-452.218	610.383	-429.360	-478.398	594.469	-272.677	-569.925	542.026	-224.945	-511.291	558.280
1944	9.71500	-146.204	-330.213	2080.527	-290.324	-188.816	1832.461	-283.709	-499.287	1830.386	-210.455	-345.150	1790.232	-191.805	-243.285	1392.668	-190.703	-457.245	1384.648	-379.516	-298.012	1432.827	-374.860	-404.079	1433.332	-377.188	-351.045	1433.079	-195.391	-268.158	1091.399	-280.417	-227.203	941.393	-296.625	-351.252	946.679	-245.776	-293.667	894.316	-352.143	-258.906	580.710	-323.826	-338.659	595.889	-407.063	-315.214	558.807	-248.644	-233.003	544.311	-207.910	-287.022	567.331	-157.779	-473.596	1102.258	-226.406	-525.184	957.251	-204.390	-404.159	948.053	-191.769	-499.243	882.109	-371.120	-528.571	605.954	-332.603	-452.186	609.722	-427.987	-478.496	597.613	-272.224	-569.927	542.194	-224.224	-511.424	557.913
